Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,3,0.9099999999999999,0.31,0.2541412981201748
75% Corpus,3,0.9099999999999999,0.61,0.24735683083379303
75% Corpus,3,0.9099999999999999,0.9099999999999999,0.3190804944244104
75% Corpus,3,0.9099999999999999,symmetric,0.24817534408031197
75% Corpus,3,symmetric,0.01,0.23784820601199774
75% Corpus,3,symmetric,0.31,0.30435558523199774
75% Corpus,3,symmetric,0.61,0.28914456702046604
75% Corpus,3,symmetric,0.9099999999999999,0.2770653520782725
75% Corpus,3,symmetric,symmetric,0.2682740522077722
75% Corpus,3,asymmetric,0.01,0.23543044390174764
75% Corpus,3,asymmetric,0.31,0.2636514794587384
75% Corpus,3,asymmetric,0.61,0.28714615229114954
75% Corpus,3,asymmetric,0.9099999999999999,0.2817874905725884
75% Corpus,3,asymmetric,symmetric,0.26865291133964125
75% Corpus,4,0.01,0.01,0.26884238050593245
75% Corpus,4,0.01,0.31,0.3085674440908205
75% Corpus,4,0.01,0.61,0.30908785602236805
75% Corpus,4,0.01,0.9099999999999999,0.3660931242980692
75% Corpus,4,0.01,symmetric,0.2711765596527448
75% Corpus,4,0.31,0.01,0.2953617334746199
75% Corpus,4,0.31,0.31,0.2788960396918489
75% Corpus,4,0.31,0.61,0.3205339310683201
75% Corpus,4,0.31,0.9099999999999999,0.35854251040061547
75% Corpus,4,0.31,symmetric,0.3006205670295139
75% Corpus,4,0.61,0.01,0.32120825490500116
75% Corpus,4,0.61,0.31,0.3358654902928315
75% Corpus,4,0.61,0.61,0.3168282949346154
75% Corpus,4,0.61,0.9099999999999999,0.32526343587351136
75% Corpus,4,0.61,symmetric,0.3442366192904076
75% Corpus,4,0.9099999999999999,0.01,0.3180754663298054
75% Corpus,4,0.9099999999999999,0.31,0.3416929740086127
75% Corpus,4,0.9099999999999999,0.61,0.3538470956644784
75% Corpus,4,0.9099999999999999,0.9099999999999999,0.3414020276494509
75% Corpus,4,0.9099999999999999,symmetric,0.3386508406374056
75% Corpus,4,symmetric,0.01,0.28970724921852425
75% Corpus,4,symmetric,0.31,0.31931683171247394
75% Corpus,4,symmetric,0.61,0.3165710740066652
75% Corpus,4,symmetric,0.9099999999999999,0.33850774087348856
75% Corpus,4,symmetric,symmetric,0.31124552396305855
75% Corpus,4,asymmetric,0.01,0.22898941441740014
75% Corpus,4,asymmetric,0.31,0.3165523298952049
75% Corpus,4,asymmetric,0.61,0.31623199137986113
75% Corpus,4,asymmetric,0.9099999999999999,0.3280024565803654
75% Corpus,4,asymmetric,symmetric,0.309335965977636
75% Corpus,5,0.01,0.01,0.2986498069336249
75% Corpus,5,0.01,0.31,0.351814733911039
75% Corpus,5,0.01,0.61,0.3101615072657494
75% Corpus,5,0.01,0.9099999999999999,0.31791446957852865
75% Corpus,5,0.01,symmetric,0.30517479968712846
75% Corpus,5,0.31,0.01,0.2932213257249997
75% Corpus,5,0.31,0.31,0.3213997238745828
75% Corpus,5,0.31,0.61,0.33365936142226
75% Corpus,5,0.31,0.9099999999999999,0.33074264441995876
75% Corpus,5,0.31,symmetric,0.28094605950929036
75% Corpus,5,0.61,0.01,0.3204929820204637
75% Corpus,5,0.61,0.31,0.3472321975699664
75% Corpus,5,0.61,0.61,0.36430377748642356
75% Corpus,5,0.61,0.9099999999999999,0.3504754351136219
75% Corpus,5,0.61,symmetric,0.34309982546889345
75% Corpus,5,0.9099999999999999,0.01,0.32347608476641493
75% Corpus,5,0.9099999999999999,0.31,0.34164104233875126
75% Corpus,5,0.9099999999999999,0.61,0.3413188095941263
75% Corpus,5,0.9099999999999999,0.9099999999999999,0.3280801235733161
75% Corpus,5,0.9099999999999999,symmetric,0.34655761308593747
75% Corpus,5,symmetric,0.01,0.2817594809710467
75% Corpus,5,symmetric,0.31,0.31507226950537104
