Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,9,0.31,symmetric,0.31791697739775215
100% Corpus,9,0.61,0.01,0.32181560443768426
100% Corpus,9,0.61,0.31,0.37765135094742547
100% Corpus,9,0.61,0.61,0.39779001992609214
100% Corpus,9,0.61,0.9099999999999999,0.3583735976252201
100% Corpus,9,0.61,symmetric,0.3601176638066017
100% Corpus,9,0.9099999999999999,0.01,0.32746534689880974
100% Corpus,9,0.9099999999999999,0.31,0.3500573640932328
100% Corpus,9,0.9099999999999999,0.61,0.3413526384224985
100% Corpus,9,0.9099999999999999,0.9099999999999999,0.3535657767101434
100% Corpus,9,0.9099999999999999,symmetric,0.33821470504040624
100% Corpus,9,symmetric,0.01,0.30305367804843697
100% Corpus,9,symmetric,0.31,0.3870358624988879
100% Corpus,9,symmetric,0.61,0.4059526604483755
100% Corpus,9,symmetric,0.9099999999999999,0.41086325918466665
100% Corpus,9,symmetric,symmetric,0.34787653034296295
100% Corpus,9,asymmetric,0.01,0.3248753084298416
100% Corpus,9,asymmetric,0.31,0.38844662364267735
100% Corpus,9,asymmetric,0.61,0.4057133158844903
100% Corpus,9,asymmetric,0.9099999999999999,0.41682240349829175
100% Corpus,9,asymmetric,symmetric,0.35357153446622885
100% Corpus,10,0.01,0.01,0.28233360583844813
100% Corpus,10,0.01,0.31,0.34758388678351243
100% Corpus,10,0.01,0.61,0.39023108182872773
100% Corpus,10,0.01,0.9099999999999999,0.39002657719513895
100% Corpus,10,0.01,symmetric,0.2849635022022355
100% Corpus,10,0.31,0.01,0.26972170397620476
100% Corpus,10,0.31,0.31,0.32481080324412875
100% Corpus,10,0.31,0.61,0.3874786004729561
100% Corpus,10,0.31,0.9099999999999999,0.41994485562225503
100% Corpus,10,0.31,symmetric,0.3026080857369465
100% Corpus,10,0.61,0.01,0.32067837764005924
100% Corpus,10,0.61,0.31,0.38474538338975384
100% Corpus,10,0.61,0.61,0.41315656762076297
100% Corpus,10,0.61,0.9099999999999999,0.4027039387638875
100% Corpus,10,0.61,symmetric,0.35468561943553556
100% Corpus,10,0.9099999999999999,0.01,0.3296480263634328
100% Corpus,10,0.9099999999999999,0.31,0.35783553855155914
100% Corpus,10,0.9099999999999999,0.61,0.3805279465958302
100% Corpus,10,0.9099999999999999,0.9099999999999999,0.3843521514969481
100% Corpus,10,0.9099999999999999,symmetric,0.3488005124273921
100% Corpus,10,symmetric,0.01,0.2949151007124567
100% Corpus,10,symmetric,0.31,0.3485643792799457
100% Corpus,10,symmetric,0.61,0.4048956460986887
100% Corpus,10,symmetric,0.9099999999999999,0.4008612336362691
100% Corpus,10,symmetric,symmetric,0.3023855024254173
100% Corpus,10,asymmetric,0.01,0.2889869520051479
100% Corpus,10,asymmetric,0.31,0.36575203538660717
100% Corpus,10,asymmetric,0.61,0.4422434254744735
100% Corpus,10,asymmetric,0.9099999999999999,0.4500707093828046
100% Corpus,10,asymmetric,symmetric,0.29841423513882376
